model_id,brand_id,model_name,speed_mbps,price,rating,stock,sold_units
1,5,Tenda_Model_930,2400,141.83,2.68,440,344
2,1,TP-Link_Model_337,1200,340.15,2.93,387,46
3,5,Tenda_Model_837,1200,310.2,2.81,226,8
4,3,D-Link_Model_511,150,206.52,2.73,228,0
5,9,Xiaomi_Model_336,5400,227.52,4.49,649,580
6,5,Tenda_Model_473,10000,364.28,2.64,952,332
7,10,Belkin_Model_981,1200,20.78,2.63,923,99
8,2,Netgear_Model_665,300,316.6,4.92,811,558
9,8,Huawei_Model_257,300,389.55,4.22,917,265
10,6,Linksys_Model_322,600,268.74,4.49,497,436
11,2,Netgear_Model_140,3600,246.22,3.76,769,301
12,8,Huawei_Model_530,2400,357.44,4.1,88,35
13,6,Linksys_Model_611,5400,283.57,4.67,26,13
14,9,Xiaomi_Model_707,10000,52.4,2.96,273,209
15,1,TP-Link_Model_141,2400,202.74,4.62,791,168
16,9,Xiaomi_Model_976,300,276.38,3.95,346,90
17,10,Belkin_Model_695,2400,105.58,4.6,729,94
18,8,Huawei_Model_683,150,182.09,3.14,354,145
19,5,Tenda_Model_272,1200,102.56,3.01,291,128
20,10,Belkin_Model_457,1200,75.86,3.34,906,726
21,10,Belkin_Model_944,600,323.08,2.51,400,372
22,1,TP-Link_Model_949,5400,362.4,2.89,372,252
23,8,Huawei_Model_586,3600,325.96,4.55,422,200
24,7,Cisco_Model_920,300,348.63,4.57,280,114
25,9,Xiaomi_Model_656,600,369.77,4.2,511,384
26,3,D-Link_Model_420,5400,80.28,4.03,659,195
27,2,Netgear_Model_882,10000,89.91,3.52,11,4
28,2,Netgear_Model_534,1200,101.06,3.43,736,449
29,4,Asus_Model_188,150,132.73,4.34,447,269
30,2,Netgear_Model_582,2400,305.19,2.71,417,204
31,8,Huawei_Model_934,600,382.56,4.19,144,136
32,10,Belkin_Model_116,150,198.95,2.78,491,142
33,2,Netgear_Model_153,10000,78.48,4.58,241,94
34,9,Xiaomi_Model_950,1200,94.95,3.08,17,2
35,2,Netgear_Model_166,5400,200.05,2.86,906,398
36,5,Tenda_Model_201,600,146.89,2.78,370,163
37,7,Cisco_Model_898,150,91.56,2.74,753,156
38,2,Netgear_Model_842,150,145.78,2.89,816,61
39,1,TP-Link_Model_195,2400,278.46,3.08,133,82
40,7,Cisco_Model_466,600,164.7,3.28,772,530
41,4,Asus_Model_582,5400,397.55,2.53,413,73
42,6,Linksys_Model_419,1200,83.83,2.7,623,232
43,2,Netgear_Model_663,150,142.95,3.33,736,347
44,6,Linksys_Model_592,5400,35.28,3.58,303,48
45,10,Belkin_Model_265,5400,365.37,3.93,508,199
46,3,D-Link_Model_564,5400,381.31,2.5,309,81
47,3,D-Link_Model_760,2400,68.52,3.19,703,397
48,3,D-Link_Model_453,150,249.17,3.53,85,56
49,8,Huawei_Model_147,1200,60.41,3.14,339,173
50,10,Belkin_Model_673,3600,278.01,4.45,208,109
51,6,Linksys_Model_222,10000,336.99,4.52,29,8
52,6,Linksys_Model_985,10000,336.4,2.84,876,58
53,9,Xiaomi_Model_105,2400,262.24,2.6,659,291
54,5,Tenda_Model_757,600,113.36,3.83,273,44
55,8,Huawei_Model_997,5400,52.51,2.78,534,430
56,7,Cisco_Model_444,150,143.32,3.69,737,580
57,8,Huawei_Model_476,600,298.42,2.5,658,352
58,1,TP-Link_Model_209,300,66.09,4.68,978,424
59,1,TP-Link_Model_596,5400,42.26,3.68,297,183
60,9,Xiaomi_Model_596,3600,68.08,3.25,89,79
61,9,Xiaomi_Model_832,1200,111.39,3.18,833,132
62,7,Cisco_Model_499,3600,177.82,4.03,725,510
63,2,Netgear_Model_673,3600,102.6,4.58,114,72
64,6,Linksys_Model_371,300,186.73,3.55,351,23
65,8,Huawei_Model_711,300,132.33,4.27,101,82
66,4,Asus_Model_688,3600,117.4,4.31,693,623
67,5,Tenda_Model_128,600,192.91,4.28,928,159
68,1,TP-Link_Model_878,300,177.29,3.54,512,482
69,3,D-Link_Model_925,150,321.45,4.36,839,798
70,6,Linksys_Model_255,600,237.42,4.04,867,516
71,3,D-Link_Model_629,5400,34.18,3.94,695,144
72,6,Linksys_Model_685,300,250.24,2.88,912,137
73,10,Belkin_Model_875,1200,241.5,4.88,565,68
74,4,Asus_Model_314,5400,31.86,3.41,589,273
75,10,Belkin_Model_735,150,146.48,3.81,906,276
76,1,TP-Link_Model_534,150,71.03,2.74,63,13
